Date,Bridgemarq Real Estate Services
20031231,1.6872e-9
20040101,1.7083e-9
20040102,1.6107e-9
20040103,1.6107e-9
20040104,1.6107e-9
20040105,1.7535e-9
20040106,1.6245e-9
20040107,1.7189e-9
20040108,1.7266e-9
20040109,1.7e-9
20040110,1.7e-9
20040111,1.7e-9
20040112,1.555e-9
20040113,1.6025e-9
20040114,1.5403e-9
20040115,1.4939e-9
20040116,1.5515e-9
20040117,1.5515e-9
20040118,1.5515e-9
20040119,1.5792e-9
20040120,1.5355e-9
20040121,1.757e-9
20040122,1.6553e-9
20040123,1.5041e-9
20040124,1.5041e-9
20040125,1.5041e-9
20040126,1.5113e-9
20040127,1.5438e-9
20040128,1.5968e-9
20040129,1.5124e-9
20040130,1.1788e-9
20040131,1.1788e-9
20040201,1.1946e-9
20040202,1.4263e-9
20040203,1.2076e-9
20040204,1.2384e-9
20040205,1.1359e-9
20040206,1.0599e-9
20040207,1.0599e-9
20040208,1.0599e-9
20040209,1.066e-9
20040210,9.729e-10
20040211,8.2376e-10
20040212,7.9114e-10
20040213,7.3885e-10
20040214,7.3885e-10
20040215,7.3885e-10
20040216,5.9784e-10
20040217,6.0641e-10
20040218,6.0662e-10
20040219,5.8033e-10
20040220,5.689e-10
20040221,5.689e-10
20040222,5.689e-10
20040223,4.9311e-10
20040224,5.1304e-10
20040225,5.3713e-10
20040226,5.6225e-10
20040227,1.3606e-8
20040228,1.3606e-8
20040229,1.3606e-8
20040301,1.5472e-8
20040302,1.7022e-8
20040303,1.738e-8
20040304,1.8925e-8
20040305,1.8558e-8
20040306,1.8558e-8
20040307,1.8558e-8
20040308,1.9899e-8
20040309,2.0907e-8
20040310,1.8261e-8
20040311,1.6529e-8
20040312,1.8127e-8
20040313,1.8127e-8
20040314,1.8127e-8
20040315,1.5228e-8
20040316,1.7554e-8
20040317,1.5928e-8
20040318,1.5344e-8
20040319,1.2392e-8
20040320,1.2392e-8
20040321,1.2392e-8
20040322,1.1887e-8
20040323,1.2896e-8
20040324,1.4582e-8
20040325,1.3237e-8
20040326,1.4879e-8
20040327,1.4879e-8
20040328,1.4879e-8
20040329,1.6894e-8
20040330,1.7083e-8
20040331,2.734e-7
20040401,2.7262e-7
20040402,2.7279e-7
20040403,2.7279e-7
20040404,2.7279e-7
20040405,2.929e-7
20040406,3.0394e-7
20040407,3.0448e-7
20040408,3.6582e-7
20040409,3.6582e-7
20040410,3.6582e-7
20040411,3.6582e-7
20040412,4.1246e-7
20040413,4.5092e-7
20040414,7.1174e-7
20040415,5.3968e-7
20040416,5.4133e-7
20040417,5.4133e-7
20040418,5.4133e-7
20040419,6.1977e-7
20040420,5.9615e-7
20040421,5.913e-7
20040422,5.9982e-7
20040423,6.0197e-7
20040424,6.0197e-7
20040425,6.0197e-7
20040426,6.0076e-7
20040427,6.2615e-7
20040428,6.7135e-7
20040429,6.7725e-7
20040430,0.000035801
20040501,0.000036299
20040502,0.000036299
20040503,0.000042759
20040504,0.000047203
20040505,0.000049073
20040506,0.000050317
20040507,0.000051746
20040508,0.000051746
20040509,0.000051746
20040510,0.000049462
20040511,0.000049498
20040512,0.000047926
20040513,0.000051406
20040514,0.000045112
20040515,0.000045112
20040516,0.000045112
20040517,0.000037241
20040518,0.00003698
