Date,Urstadt Biddle Properties Inc
20040326,0.00092059
20040327,0.00092059
20040328,0.00092059
20040329,0.00094472
20040330,0.00088992
20040331,0.00084106
20040401,0.0008523
20040402,0.00085295
20040403,0.00085295
20040404,0.00085295
20040405,0.00097202
20040406,0.0013227
20040407,0.0012411
20040408,0.0012285
20040409,0.0012285
20040410,0.0012285
20040411,0.0012285
20040412,0.0013602
20040413,0.0013631
20040414,0.0013656
20040415,0.0011902
20040416,0.0011383
20040417,0.0011383
20040418,0.0011383
20040419,0.0010129
20040420,0.0012444
20040421,0.001314
20040422,0.0012502
20040423,0.0012889
20040424,0.0012889
20040425,0.0012889
20040426,0.0012928
20040427,0.0012461
20040428,0.0014379
20040429,0.0013719
20040430,0.0037733
20040501,0.0038258
20040502,0.0038258
20040503,0.0035847
20040504,0.003572
20040505,0.0036497
20040506,0.0035217
20040507,0.0038614
20040508,0.0038614
20040509,0.0038614
20040510,0.0038499
20040511,0.003818
20040512,0.0042341
20040513,0.0041234
20040514,0.0043153
20040515,0.0043153
20040516,0.0043153
20040517,0.0043655
20040518,0.0040138
20040519,0.0046977
20040520,0.0043646
20040521,0.0041549
20040522,0.0041549
20040523,0.0041549
20040524,0.0037622
20040525,0.0035183
20040526,0.0034619
20040527,0.0033099
20040528,0.0037474
20040529,0.0037474
20040530,0.0037474
20040531,0.0037474
20040601,0.0037608
20040602,0.0036252
20040603,0.0032951
20040604,0.0028911
20040605,0.0028911
20040606,0.0028911
20040607,0.0028151
20040608,0.0028594
20040609,0.0032897
20040610,0.0031763
20040611,0.0031763
20040612,0.0031763
20040613,0.0031763
20040614,0.0032737
20040615,0.0030126
20040616,0.0028611
20040617,0.0028612
20040618,0.0028355
20040619,0.0028355
20040620,0.0028355
20040621,0.0026109
20040622,0.002675
20040623,0.002583
20040624,0.0024524
20040625,0.0020168
20040626,0.0020168
20040627,0.0020168
20040628,0.0021301
20040629,0.0023176
20040630,0.0028279
20040701,0.0027604
20040702,0.0026696
20040703,0.0026696
20040704,0.0026696
20040705,0.0026696
20040706,0.0026504
20040707,0.002189
20040708,0.0022585
20040709,0.0022954
20040710,0.0022954
20040711,0.0022954
20040712,0.0021899
20040713,0.0023364
20040714,0.0023278
20040715,0.0025188
20040716,0.0026317
20040717,0.0026317
20040718,0.0026317
20040719,0.0024342
20040720,0.0023853
20040721,0.0026157
20040722,0.0027429
20040723,0.0027583
20040724,0.0027583
20040725,0.0027583
20040726,0.0029136
20040727,0.0030045
20040728,0.0031191
20040729,0.0031416
20040730,0.0034273
20040731,0.0034273
20040801,0.0034784
20040802,0.0030086
20040803,0.0030355
