Date,DongfengSci-Tech Group Co Ltd
20010430,878.7650509352112
20010501,877.3466227659454
20010502,877.3466227659454
20010503,877.3466227659454
20010504,877.3466227659454
20010505,877.3466227659454
20010506,877.3466227659454
20010507,877.3466227659454
20010508,879.9384950010335
20010509,870.5774051174619
20010510,852.1278072698698
20010511,851.3844260183897
20010512,851.3844260183897
20010513,851.3844260183897
20010514,857.3474422159896
20010515,879.687476664319
20010516,875.4913009590347
20010517,884.0329337380534
20010518,858.2186346010309
20010519,858.2186346010309
20010520,858.2186346010309
20010521,829.913252342283
20010522,817.2410862487549
20010523,828.8713632537587
20010524,820.5111121213101
20010525,815.744454760954
20010526,815.744454760954
20010527,815.744454760954
20010528,833.8025625083117
20010529,873.4736838040778
20010530,841.1928274105607
20010531,816.9717646907505
20010601,847.8021285433621
20010602,847.8021285433621
20010603,847.8021285433621
20010604,936.6377217556022
20010605,932.2605101875499
20010606,885.2391131759354
20010607,903.0103093166824
20010608,929.0002515727684
20010609,929.0002515727684
20010610,929.0002515727684
20010611,996.044296262803
20010612,971.7934328118247
20010613,936.5457755982571
20010614,965.7538253009753
20010615,953.9447508379099
20010616,953.9447508379099
20010617,953.9447508379099
20010618,961.2915618949274
20010619,968.9822450628329
20010620,952.2353119147884
20010621,943.6382377094843
20010622,907.9557692120646
20010623,907.9557692120646
20010624,907.9557692120646
20010625,873.8282877844143
20010626,867.152231025377
20010627,867.0935965514816
20010628,885.6784740487109
20010629,919.2662707983358
20010630,919.2662707983358
20010701,917.5640540574603
20010702,939.8669533062908
20010703,939.8718615848559
20010704,951.3603496956675
20010705,981.2477721391006
20010706,1004.868397664565
20010707,1004.868397664565
20010708,1004.868397664565
20010709,1017.7270939283504
20010710,976.2088170606019
20010711,999.1499399236832
20010712,987.1023937472391
20010713,983.2321366979791
20010714,983.2321366979791
20010715,983.2321366979791
20010716,993.6994150228142
20010717,1006.6126087490575
20010718,1016.5149131815671
20010719,1067.5943723957869
20010720,1060.0439063460037
20010721,1060.0439063460037
20010722,1060.0439063460037
20010723,1069.6306461081915
20010724,1137.7106880483634
20010725,1219.7279008187395
20010726,1189.382617916207
20010727,1134.765957883692
20010728,1134.765957883692
20010729,1134.765957883692
20010730,1161.7475190836708
20010731,1192.0327057124573
20010801,1155.3910399186252
20010802,1210.0140524442647
20010803,1220.0555196561354
20010804,1220.0555196561354
20010805,1220.0555196561354
20010806,1312.7926677800422
20010807,1301.3314308195659
20010808,1292.8957800380012
20010809,1192.2184797107984
20010810,1170.1880253152199
20010811,1170.1880253152199
20010812,1170.1880253152199
20010813,1192.7987273085264
20010814,1168.6891738891834
20010815,1149.4214779518322
20010816,1194.4796350295405
20010817,1203.2704424041738
20010818,1203.2704424041738
