Date,Harbin Gong Da High-Tech Enterprise Development Co Ltd
20021129,342.04375238728215
20021130,342.04375238728215
20021201,340.1241512378335
20021202,354.5208286721348
20021203,349.34904586327025
20021204,348.43469310284854
20021205,350.41652234621773
20021206,354.7064147233047
20021207,354.7064147233047
20021208,354.7064147233047
20021209,356.0530071302844
20021210,356.97998695829466
20021211,360.27124587811335
20021212,357.7400605402245
20021213,353.4716479339733
20021214,353.4716479339733
20021215,353.4716479339733
20021216,352.2053149128748
20021217,349.41330034095733
20021218,353.05524577402593
20021219,345.85386803803476
20021220,338.32606934768313
20021221,338.32606934768313
20021222,338.32606934768313
20021223,339.52154405491564
20021224,341.2645283690074
20021225,341.62462815312875
20021226,356.0999418885696
20021227,356.06358539921007
20021228,356.06358539921007
20021229,356.06358539921007
20021230,358.2109863447197
20021231,369.9081569663596
20030101,367.7187978553531
20030102,373.93693618274693
20030103,370.2161209384132
20030104,370.2161209384132
20030105,370.2161209384132
20030106,365.22365751175823
20030107,367.43593029356566
20030108,355.9190328765009
20030109,348.95773363107867
20030110,350.3197565521225
20030111,350.3197565521225
20030112,350.3197565521225
20030113,349.0000833205794
20030114,342.35926247896896
20030115,346.7772713910065
20030116,332.80071920434364
20030117,342.1108505174293
20030118,342.1108505174293
20030119,342.1108505174293
20030120,338.66848948722316
20030121,346.0095588281059
20030122,349.88484746877907
20030123,351.38812704673927
20030124,346.00176973378626
20030125,346.00176973378626
20030126,346.00176973378626
20030127,341.70931755787296
20030128,344.4084368947746
20030129,355.8895088003096
20030130,355.8895088003096
20030131,355.8895088003096
20030201,353.66663141770385
20030202,353.66663141770385
20030203,353.66663141770385
20030204,353.66663141770385
20030205,353.66663141770385
20030206,353.66663141770385
20030207,353.66663141770385
20030208,353.66663141770385
20030209,353.66663141770385
20030210,345.22605283605844
20030211,336.02863220056594
20030212,331.0736645164444
20030213,338.19270444025057
20030214,340.09613189659694
20030215,340.09613189659694
20030216,340.09613189659694
20030217,344.1064688755724
20030218,346.0837458786611
20030219,341.49626115029287
20030220,344.93935427746624
20030221,353.0043478581035
20030222,353.0043478581035
20030223,353.0043478581035
20030224,353.500948621554
20030225,345.15693619552826
20030226,344.086960715951
20030227,346.71062891626184
20030228,347.10487668556914
20030301,344.8207958725135
20030302,344.8207958725135
20030303,342.9832781291615
20030304,341.3119007662143
20030305,340.8632159679119
20030306,346.7959889248938
20030307,343.83559502571046
20030308,343.83559502571046
20030309,343.83559502571046
20030310,347.9609833170582
20030311,345.96905396782535
20030312,347.68479760386913
20030313,353.1280137767291
20030314,351.4082353519841
20030315,351.4082353519841
20030316,351.4082353519841
20030317,345.60850446319455
20030318,341.4471363313519
20030319,339.16736883412665
20030320,344.8447684627185
20030321,343.39656700711834
20030322,343.39656700711834
20030323,343.39656700711834
20030324,346.811544658145
20030325,351.5850873052843
20030326,356.893828387411
20030327,346.82049338112654
20030328,352.52606678411047
20030329,352.52606678411047
20030330,352.52606678411047
20030331,345.5912792518953
20030401,339.38731422512956
20030402,340.5302862225492
20030403,341.3845185490768
20030404,334.5578322864457
20030405,334.5578322864457
20030406,334.5578322864457
20030407,345.40170928829605
20030408,344.0212621867851
20030409,334.4933510459592
20030410,320.38645423945906
20030411,323.6792862930794
20030412,323.6792862930794
20030413,323.6792862930794
20030414,320.5649822284388
20030415,321.87115917132417
20030416,313.75557236995576
20030417,303.90344734110397
20030418,310.1302150621512
20030419,310.1302150621512
20030420,310.1302150621512
20030421,321.6226344732588
20030422,323.2642347308782
20030423,329.550679462151
20030424,334.87868705930896
20030425,334.5174732497409
20030426,334.5174732497409
20030427,334.5174732497409
20030428,333.9700977085143
20030429,346.1755298473425
20030430,323.26568548434295
20030501,320.9147443567707
20030502,320.9147443567707
20030503,320.9147443567707
20030504,320.9147443567707
20030505,320.9147443567707
20030506,320.9147443567707
20030507,320.9147443567707
20030508,320.9147443567707
20030509,320.9147443567707
20030510,320.9147443567707
20030511,320.9147443567707
20030512,333.10323094731945
20030513,345.88380093963326
20030514,341.02387529346123
20030515,321.35606074692
20030516,328.2759596586725
20030517,328.2759596586725
20030518,328.2759596586725
20030519,327.1908031165266
20030520,336.4497250741196
20030521,332.3022254407186
20030522,335.95985423227484
20030523,331.7178554860168
20030524,331.7178554860168
20030525,331.7178554860168
20030526,328.89344297268985
20030527,324.6956794950521
20030528,325.0004375727636
20030529,320.4355906084457
